# Title: Per-seed results for every reported PINN configuration
# Description: One row per training run behind Tables 1-3 and the order, panel-count and sensitivity studies: benchmark, architecture, model key, seed, hyperparameters, relative L2 and absolute L1 errors (component-wise for Kovasznay), L-BFGS iteration count and final loss. No run is excluded; table statistics are computed over exactly these rows.
# Note: seed = 1234 + trial; key_id encodes the model and its hyperparameters
# Rows: 455
experiment,benchmark,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,N_r,N_b,n_params,l2_relative,l1_absolute,lbfgs_steps,final_loss,l2_relative_u,l2_relative_v,l2_relative_p,l1_absolute_u,l1_absolute_v,l1_absolute_p,P,rms_r,rms_r_xx,N_panel,dof
ff_baseline,helmholtz2d,FF_s1,4,10,2,1236,,,1.0,3.0,0.01,10000,200,411,1.4375330480472586,0.5927241606453021,16155,3261.3515625,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,4,10,3,1237,,,1.0,3.0,0.01,10000,200,411,0.6821721971666969,0.280752664564767,12534,45.01627349853515,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,4,10,4,1238,,,1.0,3.0,0.01,10000,200,411,0.4565998281035664,0.1736023380652662,17410,491.885009765625,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s5,4,10,0,1234,,,5.0,3.0,0.01,10000,200,411,1.00006100289213,0.3973792475377548,9319,5857.74609375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s5,4,10,1,1235,,,5.0,3.0,0.01,10000,200,411,1.0001552518419774,0.3975456176109242,3703,5966.63720703125,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s5,4,10,2,1236,,,5.0,3.0,0.01,10000,200,411,0.9462645288893468,0.3839186435875941,2763,5345.298828125,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s5,4,10,3,1237,,,5.0,3.0,0.01,10000,200,411,0.998801337522499,0.3972124030419848,15529,5677.0595703125,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s5,4,10,4,1238,,,5.0,3.0,0.01,10000,200,411,0.99998747972652,0.3971783818257032,13485,5750.88134765625,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,4,10,0,1234,6.0,30.0,,,0.01,10000,200,401,0.0148173691854965,0.006196665543153,4975,0.0672642216086387,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,4,10,1,1235,6.0,30.0,,,0.01,10000,200,401,0.0120953943434331,0.0048400343921889,4836,0.0660733059048652,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,4,10,2,1236,6.0,30.0,,,0.01,10000,200,401,0.0272228809590001,0.0110091308580744,4735,0.2129622399806976,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,4,10,3,1237,6.0,30.0,,,0.01,10000,200,401,0.0228779691954569,0.0093458690142552,7837,0.5220323801040649,,,,,,,,,,,
ff_baseline,helmholtz2d,LPA_P6_N30,4,10,4,1238,6.0,30.0,,,0.01,10000,200,401,0.027929664710929,0.0113082836622337,5736,0.447392076253891,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,4,10,0,1234,,,,,0.01,10000,200,371,0.1215538690806949,0.048785589280358,10056,4.194161415100098,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,4,10,1,1235,,,,,0.01,10000,200,371,1.4805304970464312,0.6140356451937121,6584,89.44743347167969,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,4,10,2,1236,,,,,0.01,10000,200,371,0.2863866682067692,0.116146441115561,11621,6.163275718688965,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,4,10,3,1237,,,,,0.01,10000,200,371,0.3614831917329507,0.1468502200276242,10175,6.343661785125732,,,,,,,,,,,
ff_baseline,helmholtz2d,R1,4,10,4,1238,,,,,0.01,10000,200,371,0.1670585447160968,0.0644367770519909,10100,15.105685234069824,,,,,,,,,,,
ff_baseline,helmholtz2d,R,4,10,0,1234,,,,,0.01,10000,200,393,1.385273828210868,0.317790276536481,11191,0.1010147854685783,,,,,,,,,,,
ff_baseline,helmholtz2d,R,4,10,1,1235,,,,,0.01,10000,200,393,1.3920385406682072,0.3199454653608832,6285,0.4451274871826172,,,,,,,,,,,
ff_baseline,helmholtz2d,R,4,10,2,1236,,,,,0.01,10000,200,393,1.3866188326911058,0.3183489443146063,8070,0.2325996160507202,,,,,,,,,,,
ff_baseline,helmholtz2d,R,4,10,3,1237,,,,,0.01,10000,200,393,1.3821665089883823,0.317072914401572,7435,0.3511678874492645,,,,,,,,,,,
ff_baseline,helmholtz2d,R,4,10,4,1238,,,,,0.01,10000,200,393,1.3862042866147566,0.3181846017529627,7688,0.2465393841266632,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s10,2,10,0,1234,,,10.0,3.0,0.01,10000,200,191,1.0017455573324103,0.4541289542719003,3271,18.91444206237793,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s10,2,10,1,1235,,,10.0,3.0,0.01,10000,200,191,1.0008495004118343,0.4536591936283004,2843,18.496511459350582,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s10,2,10,2,1236,,,10.0,3.0,0.01,10000,200,191,1.00016347283564,0.453234403493844,1917,18.851295471191406,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s10,2,10,3,1237,,,10.0,3.0,0.01,10000,200,191,1.0001353485530822,0.4538238226986283,4372,18.31581687927246,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s10,2,10,4,1238,,,10.0,3.0,0.01,10000,200,191,1.0003168506237785,0.4533392992449804,4500,18.600141525268555,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s1,2,10,0,1234,,,1.0,3.0,0.01,10000,200,191,0.8165207568693271,0.3999477585510791,8131,7.0588884353637695,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s1,2,10,1,1235,,,1.0,3.0,0.01,10000,200,191,0.9079346698852786,0.4100696562242242,8603,8.012666702270508,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s1,2,10,2,1236,,,1.0,3.0,0.01,10000,200,191,0.981005848388552,0.4510857415519765,3709,13.358391761779783,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s1,2,10,3,1237,,,1.0,3.0,0.01,10000,200,191,0.0297968500225792,0.0111101500362666,9944,0.0151460999622941,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s1,2,10,4,1238,,,1.0,3.0,0.01,10000,200,191,0.8610871592580616,0.3934318062833012,7966,2.2243731021881104,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s5,2,10,0,1234,,,5.0,3.0,0.01,10000,200,191,1.0015447191349645,0.4544135362390852,4587,18.255098342895508,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s5,2,10,1,1235,,,5.0,3.0,0.01,10000,200,191,1.0012015246917405,0.4538080286296838,3382,18.244741439819336,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s5,2,10,2,1236,,,5.0,3.0,0.01,10000,200,191,1.00031236551754,0.4533358631939475,5070,18.40859603881836,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s5,2,10,3,1237,,,5.0,3.0,0.01,10000,200,191,1.0001400756305876,0.4539316714885489,2246,18.073543548583984,,,,,,,,,,,
ff_baseline,diffusion_reaction,FF_s5,2,10,4,1238,,,5.0,3.0,0.01,10000,200,191,1.0004209542335525,0.4534069487981367,4365,18.46385955810547,,,,,,,,,,,
ff_baseline,diffusion_reaction,LPA_P3_N30,2,10,0,1234,3.0,30.0,,,0.01,10000,200,181,0.0339446433166444,0.0136036645216842,2160,0.0171832349151372,,,,,,,,,,,
ff_baseline,diffusion_reaction,LPA_P3_N30,2,10,1,1235,3.0,30.0,,,0.01,10000,200,181,0.0162992987372883,0.0065599842606133,3240,0.0120915994048118,,,,,,,,,,,
ff_baseline,diffusion_reaction,LPA_P3_N30,2,10,2,1236,3.0,30.0,,,0.01,10000,200,181,0.0117425630927797,0.004846696992582,2652,0.011216196231544,,,,,,,,,,,
ff_baseline,diffusion_reaction,LPA_P3_N30,2,10,3,1237,3.0,30.0,,,0.01,10000,200,181,0.0189860629979553,0.0080524889312458,5794,0.0145007530227303,,,,,,,,,,,
