# Title: Per-seed results of the PI-DeepONet re-run
# Description: One row per operator-network training run: architecture, latent and head widths, Legendre order and panel count, seed, parameter count, errors at the reference Reynolds number and mean/median errors over the Re = 1-199 sweep, and training time.
# Note: five seeds per width per model; all rows are included in the reported statistics
# Rows: 40
benchmark,key_id,nh,nn,use_lpa,lpa_order,lpa_panels,latent_dim,head_width,epochs,lr,n_int,n_b,seed,trial,n_params,l2_u_ref,l2_v_ref,l2_p_ref,sweep_median_l2_u,sweep_median_l2_v,sweep_median_l2_p,sweep_mean_l2_u,sweep_mean_l2_v,sweep_mean_l2_p,time_train
kovasznay_pideeponet,LPA_K3_N16,3,32,True,3.0,16.0,64,16,5000,0.002,10000,200,1234,0,9955,0.0791703063192913,0.2645274536584067,0.1452732506687881,0.0271687749773263,0.2368657439947128,0.0553909502923488,0.1663953959941864,0.3623493015766144,0.2098438143730163,687.4103109836578
kovasznay_pideeponet,LPA_K3_N16,3,32,True,3.0,16.0,64,16,5000,0.002,10000,200,1235,1,9955,0.0724423215652292,0.2982333647278599,0.1911979492973102,0.0274198539555072,0.1847383975982666,0.0704469457268714,0.1205356791615486,0.3528265655040741,0.1871190071105957,698.5853760242462
kovasznay_pideeponet,LPA_K3_N16,3,32,True,3.0,16.0,64,16,5000,0.002,10000,200,1236,2,9955,0.0177383383197944,0.131667474668687,0.0575948235342826,0.0113122994080185,0.0925545170903205,0.023312984034419,0.0288916397839784,0.1533306241035461,0.0475513339042663,678.8104512691498
kovasznay_pideeponet,LPA_K3_N16,3,32,True,3.0,16.0,64,16,5000,0.002,10000,200,1237,3,9955,0.0858725025798773,0.2099273288532443,0.040414207050696,0.0476250760257244,0.3154346048831939,0.0606681033968925,0.0622531771659851,0.3319198489189148,0.0724756941199302,686.8056890964508
kovasznay_pideeponet,LPA_K3_N16,3,32,True,3.0,16.0,64,16,5000,0.002,10000,200,1238,4,9955,0.0165219967618978,0.1228607466800123,0.0700279568314044,0.0164135582745075,0.0922857150435447,0.0234590284526348,0.0359645932912826,0.1575730741024017,0.0662038549780845,614.6869530677795
kovasznay_pideeponet,VAN,3,32,False,,,64,16,5000,0.002,10000,200,1234,0,9699,0.0284241688149073,0.2170962706155355,0.0770984446059911,0.0210929717868566,0.188468724489212,0.036423560231924,0.0368840508162975,0.2382306307554245,0.0699934214353561,529.2662818431854
kovasznay_pideeponet,VAN,3,32,False,,,64,16,5000,0.002,10000,200,1235,1,9699,0.0296673105159575,0.1711299943852677,0.0503753960055394,0.0376284159719944,0.1219339296221733,0.0348383672535419,0.0442619509994983,0.1825642585754394,0.0622557587921619,520.0313770771027
kovasznay_pideeponet,VAN,3,32,False,,,64,16,5000,0.002,10000,200,1236,2,9699,0.015813687668148,0.1833368664094721,0.0714656908711591,0.0162068866193294,0.2684792876243591,0.0751791894435882,0.0263687167316675,0.3003465533256531,0.1109256669878959,510.6389088630676
kovasznay_pideeponet,VAN,3,32,False,,,64,16,5000,0.002,10000,200,1237,3,9699,0.0322447731319011,0.2219566083025148,0.0917063430190855,0.0265684574842453,0.1689183712005615,0.0404021255671978,0.0367829576134681,0.2398842722177505,0.0763496607542038,505.8117640018463
kovasznay_pideeponet,VAN,3,32,False,,,64,16,5000,0.002,10000,200,1238,4,9699,0.0163347987050333,0.1859827141459715,0.0614583973947097,0.0162503868341445,0.1523560136556625,0.0631929039955139,0.0267339590936899,0.2140859514474868,0.0838654190301895,485.8588399887085
