benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,l1_absolute,l2_relative,l1_absolute_c0,l2_relative_c0,l2_relative_sum,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,rms_r,mean_abs_r,max_abs_r,rms_r_x,mean_abs_r_x,max_abs_r_x,rms_r_y,mean_abs_r_y,max_abs_r_y,rms_r_xx,mean_abs_r_xx,max_abs_r_xx,rms_r_yy,mean_abs_r_yy,max_abs_r_yy,domain,P,N_panel
helmholtz2d,LPA,LPA_P3_N10,2,10,4,1238,3.0,10.0,,,0.01,200,40000,200,10000,161,,0.02470092768328621,0.060087378647357685,0.02470092768328621,0.06008737864735764,0.06008737864735764,2.149397611618042,4.8276660442352295,107.90935897827148,5926,arm64,1.400979284105432,1.1120291501283646,9.048625946044922,38.26758305939909,27.521697998046875,430.8220520019531,41.3813003399152,29.00627040863037,346.9764404296875,1061.32084569182,737.5336608886719,8322.6689453125,1181.1701097322941,802.1591033935547,9923.427734375,,3,10
helmholtz2d,LPA,LPA_P3_N20,2,10,0,1234,3.0,20.0,,,0.01,200,40000,200,10000,171,,0.015149826885741388,0.03885499906974675,0.015149826885741388,0.038854999069746675,0.038854999069746675,3.1836400032043457,4.8072662353515625,96.15284299850464,5224,arm64,1.604858653775853,1.169686108827591,16.89684295654297,50.087750452194676,30.62144923210144,675.4489135742188,51.83776269040814,31.882826805114746,649.2813720703125,1382.5185294870373,853.9695281982422,13537.7421875,1361.6834709285415,856.9547119140625,13465.1533203125,,3,20
helmholtz2d,LPA,LPA_P3_N20,2,10,1,1235,3.0,20.0,,,0.01,200,40000,200,10000,171,,0.07411565636270953,0.18600315629985667,0.07411565636270953,0.18600315629985606,0.18600315629985606,3.968207359313965,5.144150018692017,79.5051109790802,4414,arm64,1.7999649266296236,1.2600687146186829,17.410255432128906,55.593499271541475,34.20478534698486,640.1146850585938,57.46661575444939,32.45903825759888,575.5958251953125,1432.7546948535887,927.2498626708984,11542.32421875,1453.8695243212164,818.5407638549805,12212.4541015625,,3,20
helmholtz2d,LPA,LPA_P3_N20,2,10,2,1236,3.0,20.0,,,0.01,200,40000,200,10000,171,,0.01808697441726252,0.04367481273602974,0.01808697441726252,0.04367481273602959,0.04367481273602959,1.184412956237793,4.9700212478637695,100.25438618659973,5705,arm64,1.0290910924095444,0.7263814359903336,15.809371948242188,30.710631189247678,18.583585023880005,523.591552734375,35.840678528255054,20.778570890426636,551.55712890625,856.5684626753427,500.2968406677246,10030.3232421875,1010.2250986785074,575.9214859008789,10736.107421875,,3,20
helmholtz2d,LPA,LPA_P3_N20,2,10,3,1237,3.0,20.0,,,0.01,200,40000,200,10000,171,,0.05881786625216638,0.1456757528272899,0.05881786625216638,0.14567575282728992,0.14567575282728992,9.620784759521484,4.959467887878418,115.72224688529968,6408,arm64,2.8574400019249984,1.996184840798378,48.644840240478516,83.82187767960328,48.52018404006958,1408.53125,80.67112862513046,49.08481311798096,1331.06787109375,1969.1268766257801,1218.147705078125,18527.890625,1853.896015827209,1213.656753540039,16237.5478515625,,3,20
helmholtz2d,LPA,LPA_P3_N20,2,10,4,1238,3.0,20.0,,,0.01,200,40000,200,10000,171,,0.0350754401506384,0.08826882510571948,0.0350754401506384,0.08826882510571926,0.08826882510571926,2.1781980991363525,4.639981985092163,102.03620719909668,5818,arm64,1.4441650114097655,1.041496366262436,14.241374969482422,41.29178976328671,27.48109459877014,377.304931640625,46.049256862811454,27.138373851776123,522.8646850585938,1326.4090149723802,807.0006103515625,9962.3984375,1268.1969176255714,769.4167098999023,9218.50390625,,3,20
helmholtz2d,LPA,LPA_P3_N30,2,10,0,1234,3.0,30.0,,,0.01,200,40000,200,10000,181,,0.008182914486642122,0.019785613616560577,0.008182914486642122,0.019785613616560553,0.019785613616560553,0.7763735055923462,4.898315906524658,112.4678316116333,6417,arm64,0.8027018612405098,0.5723560005426407,11.345787048339844,28.251039739058996,16.341240882873535,427.01434326171875,28.796216753320206,15.512349486351013,481.3956298828125,863.1800625086865,480.47203826904297,8421.517578125,907.3883712336191,445.18330001831055,12364.76953125,,3,30
helmholtz2d,LPA,LPA_P3_N30,2,10,1,1235,3.0,30.0,,,0.01,200,40000,200,10000,181,,0.010098322710892968,0.024755813873662273,0.010098322710892968,0.024755813873662262,0.024755813873662262,1.1702876091003418,4.999819040298462,87.26799988746643,5008,arm64,0.9786596896476581,0.6937583908438683,13.359528541564941,32.77664754467086,19.0235698223114,632.8715209960938,35.93156891019573,19.342793941497803,593.8533325195312,933.7394849642217,529.4573669433594,13202.748046875,1077.0114394123211,566.7305793762207,12961.974609375,,3,30
helmholtz2d,LPA,LPA_P3_N30,2,10,2,1236,3.0,30.0,,,0.01,200,40000,200,10000,181,,0.02828658291866079,0.07110565077653828,0.02828658291866079,0.07110565077653795,0.07110565077653795,3.9054582118988037,4.678387880325317,121.84040594100952,6987,arm64,1.7842417154455197,1.4379205107688904,8.059066772460938,49.50072902566452,36.60714626312256,496.1994323730469,47.524789384899975,35.96176099777222,476.5005187988281,1321.346767979549,950.143440246582,9803.3349609375,1351.663477441778,972.2592849731445,9996.5458984375,,3,30
helmholtz2d,LPA,LPA_P3_N30,2,10,3,1237,3.0,30.0,,,0.01,200,40000,200,10000,181,,0.026917345637804017,0.06703543711218347,0.026917345637804017,0.06703543711218325,0.06703543711218325,4.033806800842285,4.698170185089111,91.05100536346436,5074,arm64,1.7436049216430707,1.3455162793397903,14.964544296264648,51.28115984195685,33.3006329536438,641.982666015625,56.770515665921245,35.3727502822876,752.1101684570312,1403.9487504000992,854.0679473876953,13995.1103515625,1515.640371056076,886.0479354858398,15090.65625,,3,30
