Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
5.700000000000000000e+01,2.293357439339160919e-02,7.756143808364868164e-03,1.046368293464183807e-02,2.628380432724952698e-02,1.671573221683502197e-01,4.760373011231422424e-02
5.800000000000000000e+01,2.279194630682468414e-02,7.633758708834648132e-03,1.007300149649381638e-02,2.614820748567581177e-02,1.668530404567718506e-01,4.639513790607452393e-02
5.900000000000000000e+01,2.265840210020542145e-02,7.514491211622953415e-03,9.718568995594978333e-03,2.602275460958480835e-02,1.666363477706909180e-01,4.530463740229606628e-02
6.000000000000000000e+01,2.253230661153793335e-02,7.397633511573076248e-03,9.398073889315128326e-03,2.590651623904705048e-02,1.664803475141525269e-01,4.432514682412147522e-02
6.100000000000000000e+01,2.241261862218379974e-02,7.282820064574480057e-03,9.107852354645729065e-03,2.579867094755172729e-02,1.663600951433181763e-01,4.344972968101501465e-02
6.200000000000000000e+01,2.229935675859451294e-02,7.169755641371011734e-03,8.846416138112545013e-03,2.569864504039287567e-02,1.662545055150985718e-01,4.267184808850288391e-02
6.300000000000000000e+01,2.219164185225963593e-02,7.057301234453916550e-03,8.610217832028865814e-03,2.560579776763916016e-02,1.661457866430282593e-01,4.198467731475830078e-02
6.400000000000000000e+01,2.208956517279148102e-02,6.945267319679260254e-03,8.396333083510398865e-03,2.551967278122901917e-02,1.660181283950805664e-01,4.138156399130821228e-02
6.500000000000000000e+01,2.199299447238445282e-02,6.833303719758987427e-03,8.203187957406044006e-03,2.543979324400424957e-02,1.658586412668228149e-01,4.085616022348403931e-02
6.600000000000000000e+01,2.190124429762363434e-02,6.721325684338808060e-03,8.028201758861541748e-03,2.536583133041858673e-02,1.656568646430969238e-01,4.040212556719779968e-02
6.700000000000000000e+01,2.181374467909336090e-02,6.609542760998010635e-03,7.869881577789783478e-03,2.529738657176494598e-02,1.654051393270492554e-01,4.001402854919433594e-02
6.800000000000000000e+01,2.173005975782871246e-02,6.497761700302362442e-03,7.727039512246847153e-03,2.523426339030265808e-02,1.650962382555007935e-01,3.968582674860954285e-02
6.900000000000000000e+01,2.164992317557334900e-02,6.385855842381715775e-03,7.597697433084249496e-03,2.517598494887351990e-02,1.647262573242187500e-01,3.941214457154273987e-02
7.000000000000000000e+01,2.157309837639331818e-02,6.274458486586809158e-03,7.480493281036615372e-03,2.512253448367118835e-02,1.642920970916748047e-01,3.918784111738204956e-02
7.100000000000000000e+01,2.149931900203227997e-02,6.163256242871284485e-03,7.374806329607963562e-03,2.507351338863372803e-02,1.637914925813674927e-01,3.900843858718872070e-02
7.200000000000000000e+01,2.142831683158874512e-02,6.052085198462009430e-03,7.278719916939735413e-03,2.502867579460144043e-02,1.632251888513565063e-01,3.886894881725311279e-02
7.300000000000000000e+01,2.136009186506271362e-02,5.941180977970361710e-03,7.191177923232316971e-03,2.498791925609111786e-02,1.625925302505493164e-01,3.876515105366706848e-02
7.400000000000000000e+01,2.129437960684299469e-02,5.831134505569934845e-03,7.111376151442527771e-03,2.495094761252403259e-02,1.618954688310623169e-01,3.869293630123138428e-02
7.500000000000000000e+01,2.123113349080085754e-02,5.721862893551588058e-03,7.038094103336334229e-03,2.491760626435279846e-02,1.611364334821701050e-01,3.864857926964759827e-02
7.600000000000000000e+01,2.117023058235645294e-02,5.613840650767087936e-03,6.970758084207773209e-03,2.488777413964271545e-02,1.603184044361114502e-01,3.862839564681053162e-02
7.700000000000000000e+01,2.111155353486537933e-02,5.507199559360742569e-03,6.908568553626537323e-03,2.486111409962177277e-02,1.594443172216415405e-01,3.862904384732246399e-02
7.800000000000000000e+01,2.105498313903808594e-02,5.402335431426763535e-03,6.851087789982557297e-03,2.483753673732280731e-02,1.585186421871185303e-01,3.864759579300880432e-02
7.900000000000000000e+01,2.100059576332569122e-02,5.299587734043598175e-03,6.797714158892631531e-03,2.481690607964992523e-02,1.575456559658050537e-01,3.868088871240615845e-02
8.000000000000000000e+01,2.094827406108379364e-02,5.199102684855461121e-03,6.748558953404426575e-03,2.479900978505611420e-02,1.565296053886413574e-01,3.872631490230560303e-02
8.100000000000000000e+01,2.089816331863403320e-02,5.101994145661592484e-03,6.703309714794158936e-03,2.478371560573577881e-02,1.554752141237258911e-01,3.878129646182060242e-02
8.200000000000000000e+01,2.085007913410663605e-02,5.008610896766185760e-03,6.660911720246076584e-03,2.477084845304489136e-02,1.543875187635421753e-01,3.884351626038551331e-02
8.300000000000000000e+01,2.080425247550010681e-02,4.918099846690893173e-03,6.620609201490879059e-03,2.476029470562934875e-02,1.532715559005737305e-01,3.891079872846603394e-02
8.400000000000000000e+01,2.076061256229877472e-02,4.830498713999986649e-03,6.582087837159633636e-03,2.475190721452236176e-02,1.521329432725906372e-01,3.898117691278457642e-02
8.500000000000000000e+01,2.071935497224330902e-02,4.746229387819766998e-03,6.544732488691806793e-03,2.474555745720863342e-02,1.509762108325958252e-01,3.905307501554489136e-02
8.600000000000000000e+01,2.068064920604228973e-02,4.664837382733821869e-03,6.508213002234697342e-03,2.474110387265682220e-02,1.498066186904907227e-01,3.912432864308357239e-02
8.700000000000000000e+01,2.064467035233974457e-02,4.586078226566314697e-03,6.472212262451648712e-03,2.473848313093185425e-02,1.486295610666275024e-01,3.919382765889167786e-02
8.800000000000000000e+01,2.061181701719760895e-02,4.509893245995044708e-03,6.436253897845745087e-03,2.473754435777664185e-02,1.474494338035583496e-01,3.925981000065803528e-02
8.900000000000000000e+01,2.058307453989982605e-02,4.436517134308815002e-03,6.400182377547025681e-03,2.473819442093372345e-02,1.462717205286026001e-01,3.932119160890579224e-02
9.000000000000000000e+01,2.055846527218818665e-02,4.366312175989151001e-03,6.363861262798309326e-03,2.474035322666168213e-02,1.451012492179870605e-01,3.937701508402824402e-02
9.100000000000000000e+01,2.053732238709926605e-02,4.299367312341928482e-03,6.327066104859113693e-03,2.474391087889671326e-02,1.439421623945236206e-01,3.942583873867988586e-02
9.200000000000000000e+01,2.051953785121440887e-02,4.235741216689348221e-03,6.289803888648748398e-03,2.474879845976829529e-02,1.427998691797256470e-01,3.946723788976669312e-02
9.300000000000000000e+01,2.050594240427017212e-02,4.175014328211545944e-03,6.251902785152196884e-03,2.475492469966411591e-02,1.416778266429901123e-01,3.950023278594017029e-02
