Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
4.800000000000000000e+01,1.075644418597221375e-02,3.865777282044291496e-03,1.005700509995222092e-02,1.180931087583303452e-02,8.285677433013916016e-02,4.086982086300849915e-02
4.900000000000000000e+01,1.051309239119291306e-02,3.616336500272154808e-03,9.543310850858688354e-03,1.152656879276037216e-02,7.862149924039840698e-02,3.938493877649307251e-02
5.000000000000000000e+01,1.035159174352884293e-02,3.395789070054888725e-03,9.089006111025810242e-03,1.131163816899061203e-02,7.478884607553482056e-02,3.801915794610977173e-02
5.100000000000000000e+01,1.023711171001195908e-02,3.202235326170921326e-03,8.682872168719768524e-03,1.115412171930074692e-02,7.135144621133804321e-02,3.676677122712135315e-02
5.200000000000000000e+01,1.015993114560842514e-02,3.034743946045637131e-03,8.315001614391803741e-03,1.104439608752727509e-02,6.830038875341415405e-02,3.562169894576072693e-02
5.300000000000000000e+01,1.012010034173727036e-02,2.892940305173397064e-03,7.979184389114379883e-03,1.097351312637329102e-02,6.562343984842300415e-02,3.457784652709960938e-02
5.400000000000000000e+01,1.010867673903703690e-02,2.773139858618378639e-03,7.670806720852851868e-03,1.093365065753459930e-02,6.330564618110656738e-02,3.362850099802017212e-02
5.500000000000000000e+01,1.011617761105298996e-02,2.671195194125175476e-03,7.386647630482912064e-03,1.091784518212080002e-02,6.132917106151580811e-02,3.276706859469413757e-02
5.600000000000000000e+01,1.013908348977565765e-02,2.583845984190702438e-03,7.124075200408697128e-03,1.092034578323364258e-02,5.967295169830322266e-02,3.198673576116561890e-02
5.700000000000000000e+01,1.017439272254705429e-02,2.509347163140773773e-03,6.882307585328817368e-03,1.093626953661441803e-02,5.831333249807357788e-02,3.128101676702499390e-02
5.800000000000000000e+01,1.021604891866445541e-02,2.445418387651443481e-03,6.658837199211120605e-03,1.096156705170869827e-02,5.722466483712196350e-02,3.064305521547794342e-02
5.900000000000000000e+01,1.025849580764770508e-02,2.391571644693613052e-03,6.451045162975788116e-03,1.099304016679525375e-02,5.637959763407707214e-02,3.006659820675849915e-02
6.000000000000000000e+01,1.029880065470933914e-02,2.346039284020662308e-03,6.256360094994306564e-03,1.102807745337486267e-02,5.575060844421386719e-02,2.954516559839248657e-02
6.100000000000000000e+01,1.033563073724508286e-02,2.308137016370892525e-03,6.073075346648693085e-03,1.106463931500911713e-02,5.530931800603866577e-02,2.907298505306243896e-02
6.200000000000000000e+01,1.036786846816539764e-02,2.277217106893658638e-03,5.899735726416110992e-03,1.110132038593292236e-02,5.502912402153015137e-02,2.864443138241767883e-02
6.300000000000000000e+01,1.039649080485105515e-02,2.252803882583975792e-03,5.735068116337060928e-03,1.113676372915506363e-02,5.488472059369087219e-02,2.825417183339595795e-02
6.400000000000000000e+01,1.042098738253116608e-02,2.233773702755570412e-03,5.578322336077690125e-03,1.117039564996957779e-02,5.485193058848381042e-02,2.789745293557643890e-02
6.500000000000000000e+01,1.044086646288633347e-02,2.218696288764476776e-03,5.430205259472131729e-03,1.120148971676826477e-02,5.490956827998161316e-02,2.756994403898715973e-02
6.600000000000000000e+01,1.045610848814249039e-02,2.206501550972461700e-03,5.290681030601263046e-03,1.122965663671493530e-02,5.503819510340690613e-02,2.726721204817295074e-02
6.700000000000000000e+01,1.046755816787481308e-02,2.195591572672128677e-03,5.159402266144752502e-03,1.125479303300380707e-02,5.522063747048377991e-02,2.698602527379989624e-02
6.800000000000000000e+01,1.047581899911165237e-02,2.185885794460773468e-03,5.036220420151948929e-03,1.127674616873264313e-02,5.544285103678703308e-02,2.672283165156841278e-02
6.900000000000000000e+01,1.048103161156177521e-02,2.177536254748702049e-03,4.920083563774824142e-03,1.129558309912681580e-02,5.569137260317802429e-02,2.647494338452816010e-02
7.000000000000000000e+01,1.048339996486902237e-02,2.169703599065542221e-03,4.809728823602199554e-03,1.131131034344434738e-02,5.595649778842926025e-02,2.623979188501834869e-02
7.100000000000000000e+01,1.048378273844718933e-02,2.161797368898987770e-03,4.704254679381847382e-03,1.132418122142553329e-02,5.622871965169906616e-02,2.601529657840728760e-02
7.200000000000000000e+01,1.048241462558507919e-02,2.153690671548247337e-03,4.602724686264991760e-03,1.133423950523138046e-02,5.650159716606140137e-02,2.579934895038604736e-02
7.300000000000000000e+01,1.047992520034313202e-02,2.144947182387113571e-03,4.505039658397436142e-03,1.134174689650535583e-02,5.676897242665290833e-02,2.559044398367404938e-02
7.400000000000000000e+01,1.047698035836219788e-02,2.136169234290719032e-03,4.410780500620603561e-03,1.134694553911685944e-02,5.702643468976020813e-02,2.538717724382877350e-02
7.500000000000000000e+01,1.047411747276782990e-02,2.127001294866204262e-03,4.319349303841590881e-03,1.134998816996812820e-02,5.727101489901542664e-02,2.518847957253456116e-02
7.600000000000000000e+01,1.047194376587867737e-02,2.117105759680271149e-03,4.230907652527093887e-03,1.135104428976774216e-02,5.749972164630889893e-02,2.499327436089515686e-02
7.700000000000000000e+01,1.047206204384565353e-02,2.106472849845886230e-03,4.146487917751073837e-03,1.135042775422334671e-02,5.771147459745407104e-02,2.480082586407661438e-02
7.800000000000000000e+01,1.047577988356351852e-02,2.095093950629234314e-03,4.065601155161857605e-03,1.134829409420490265e-02,5.790485069155693054e-02,2.461083233356475830e-02
7.900000000000000000e+01,1.048470940440893173e-02,2.082964871078729630e-03,3.988326061517000198e-03,1.134471315890550613e-02,5.808005481958389282e-02,2.442220598459243774e-02
8.000000000000000000e+01,1.049826573580503464e-02,2.070233924314379692e-03,3.914560191333293915e-03,1.134003233164548874e-02,5.823662877082824707e-02,2.423519268631935120e-02
8.100000000000000000e+01,1.051608845591545105e-02,2.057395642623305321e-03,3.844105172902345657e-03,1.133429631590843201e-02,5.837566778063774109e-02,2.404913306236267090e-02
8.200000000000000000e+01,1.053835079073905945e-02,2.044353401288390160e-03,3.777370089665055275e-03,1.132770255208015442e-02,5.849792063236236572e-02,2.386394143104553223e-02
8.300000000000000000e+01,1.056237984448671341e-02,2.030818257480859756e-03,3.714288817718625069e-03,1.132030598819255829e-02,5.860476195812225342e-02,2.367958426475524902e-02
8.400000000000000000e+01,1.058868318796157837e-02,2.016739221289753914e-03,3.653570543974637985e-03,1.131229940801858902e-02,5.869730189442634583e-02,2.349589206278324127e-02
8.500000000000000000e+01,1.061521749943494797e-02,2.002192428335547447e-03,3.594785230234265327e-03,1.130372844636440277e-02,5.877744033932685852e-02,2.331298403441905975e-02
8.600000000000000000e+01,1.064114831387996674e-02,1.987195806577801704e-03,3.537857905030250549e-03,1.129467319697141647e-02,5.884723737835884094e-02,2.313068881630897522e-02
8.700000000000000000e+01,1.066643558442592621e-02,1.971864607185125351e-03,3.482292871922254562e-03,1.128531433641910553e-02,5.890802666544914246e-02,2.294933237135410309e-02
8.800000000000000000e+01,1.069058012217283249e-02,1.956751570105552673e-03,3.427872201427817345e-03,1.127559319138526917e-02,5.896194279193878174e-02,2.276878990232944489e-02
8.900000000000000000e+01,1.071355026215314865e-02,1.941895345225930214e-03,3.374472027644515038e-03,1.126561872661113739e-02,5.901149287819862366e-02,2.258923277258872986e-02
9.000000000000000000e+01,1.073517091572284698e-02,1.927166362293064594e-03,3.321942873299121857e-03,1.125538721680641174e-02,5.905860662460327148e-02,2.241074666380882263e-02
9.100000000000000000e+01,1.075535267591476440e-02,1.912377541884779930e-03,3.270371351391077042e-03,1.124498900026082993e-02,5.910515785217285156e-02,2.223352529108524323e-02
9.200000000000000000e+01,1.077371183782815933e-02,1.897516194730997086e-03,3.219704376533627510e-03,1.123448181897401810e-02,5.915336310863494873e-02,2.205743081867694855e-02
9.300000000000000000e+01,1.079015154391527176e-02,1.882666023448109627e-03,3.170017618685960770e-03,1.122383587062358856e-02,5.920554697513580322e-02,2.188279666006565094e-02
9.400000000000000000e+01,1.080473512411117554e-02,1.867830636911094189e-03,3.121125511825084686e-03,1.121306978166103363e-02,5.926394462585449219e-02,2.170978486537933350e-02
9.500000000000000000e+01,1.081745326519012451e-02,1.853229128755629063e-03,3.073029220104217529e-03,1.120225526392459869e-02,5.933002755045890808e-02,2.153825946152210236e-02
9.600000000000000000e+01,1.082833576947450638e-02,1.839219708926975727e-03,3.025811864063143730e-03,1.119132246822118759e-02,5.940650030970573425e-02,2.136855944991111755e-02
9.700000000000000000e+01,1.083715725690126419e-02,1.825644867494702339e-03,2.979535842314362526e-03,1.118036080151796341e-02,5.949472635984420776e-02,2.120044268667697906e-02
9.800000000000000000e+01,1.084387209266424179e-02,1.812436268664896488e-03,2.934394171461462975e-03,1.116934791207313538e-02,5.959664657711982727e-02,2.103439718484878540e-02
9.900000000000000000e+01,1.084848120808601379e-02,1.799513469450175762e-03,2.890757285058498383e-03,1.115831825882196426e-02,5.971374362707138062e-02,2.087013237178325653e-02
1.000000000000000000e+02,1.085108611732721329e-02,1.786809763871133327e-03,2.848551375791430473e-03,1.114722993224859238e-02,5.984864756464958191e-02,2.070785313844680786e-02
1.010000000000000000e+02,1.085164211690425873e-02,1.774310483597218990e-03,2.807785756886005402e-03,1.113610528409481049e-02,6.000228598713874817e-02,2.054755948483943939e-02
1.020000000000000000e+02,1.085054781287908554e-02,1.762489904649555683e-03,2.768548903986811638e-03,1.112497597932815552e-02,6.017625331878662109e-02,2.038930356502532959e-02
1.030000000000000000e+02,1.084765885025262833e-02,1.751178875565528870e-03,2.730514621362090111e-03,1.111384294927120209e-02,6.037186086177825928e-02,2.023312635719776154e-02
1.040000000000000000e+02,1.084281038492918015e-02,1.740367151796817780e-03,2.693648450076580048e-03,1.110272388905286789e-02,6.059038266539573669e-02,2.007913962006568909e-02
1.050000000000000000e+02,1.083587389439344406e-02,1.730035757645964622e-03,2.657920122146606445e-03,1.109153684228658676e-02,6.083330884575843811e-02,1.992692239582538605e-02
1.060000000000000000e+02,1.082696858793497086e-02,1.720387022942304611e-03,2.623364794999361038e-03,1.108044572174549103e-02,6.110123172402381897e-02,1.977704651653766632e-02
1.070000000000000000e+02,1.081574521958827972e-02,1.711924211122095585e-03,2.589654177427291870e-03,1.106931269168853760e-02,6.139539182186126709e-02,1.962887309491634369e-02
1.080000000000000000e+02,1.080234162509441376e-02,1.704293303191661835e-03,2.556847641244530678e-03,1.105829980224370956e-02,6.171607226133346558e-02,1.948297210037708282e-02
1.090000000000000000e+02,1.078667398542165756e-02,1.697433413937687874e-03,2.524771727621555328e-03,1.104728691279888153e-02,6.206507235765457153e-02,1.933919079601764679e-02
1.100000000000000000e+02,1.076889038085937500e-02,1.691790064796805382e-03,2.493290696293115616e-03,1.103636529296636581e-02,6.244152039289474487e-02,1.919711008667945862e-02
1.110000000000000000e+02,1.074903458356857300e-02,1.687154057435691357e-03,2.462605945765972137e-03,1.102553308010101318e-02,6.284730136394500732e-02,1.905719377100467682e-02
1.120000000000000000e+02,1.072713918983936310e-02,1.683469745330512524e-03,2.432492328807711601e-03,1.101481076329946518e-02,6.328193843364715576e-02,1.891893520951271057e-02
1.130000000000000000e+02,1.070365123450756073e-02,1.681013149209320545e-03,2.402940997853875160e-03,1.100421883165836334e-02,6.374554336071014404e-02,1.878284290432929993e-02
1.140000000000000000e+02,1.067890319973230362e-02,1.679897308349609375e-03,2.373889787122607231e-03,1.099376659840345383e-02,6.423936039209365845e-02,1.864860020577907562e-02
1.150000000000000000e+02,1.065248530358076096e-02,1.680269255302846432e-03,2.345280023291707039e-03,1.098349038511514664e-02,6.476217508316040039e-02,1.851607114076614380e-02
1.160000000000000000e+02,1.062443666160106659e-02,1.682806760072708130e-03,2.317090285941958427e-03,1.097347866743803024e-02,6.531443446874618530e-02,1.838540658354759216e-02
1.170000000000000000e+02,1.059475168585777283e-02,1.687237876467406750e-03,2.289300318807363510e-03,1.096369232982397079e-02,6.589650362730026245e-02,1.825687661767005920e-02
1.180000000000000000e+02,1.056344714015722275e-02,1.693062600679695606e-03,2.261829096823930740e-03,1.095412019640207291e-02,6.650772690773010254e-02,1.812989450991153717e-02
1.190000000000000000e+02,1.053089555352926254e-02,1.700139604508876801e-03,2.234656829386949539e-03,1.094486098736524582e-02,6.714829057455062866e-02,1.800484769046306610e-02
1.200000000000000000e+02,1.049722265452146530e-02,1.708370167762041092e-03,2.207775833085179329e-03,1.093594823032617569e-02,6.781697273254394531e-02,1.788159459829330444e-02
1.210000000000000000e+02,1.046243403106927872e-02,1.717620063573122025e-03,2.181171439588069916e-03,1.092738658189773560e-02,6.851416081190109253e-02,1.776045374572277069e-02
1.220000000000000000e+02,1.042648963630199432e-02,1.727716065943241119e-03,2.154659247025847435e-03,1.091919187456369400e-02,6.923942267894744873e-02,1.764078997075557709e-02
1.230000000000000000e+02,1.038960181176662445e-02,1.738606602884829044e-03,2.128405729308724403e-03,1.091145817190408707e-02,6.999231874942779541e-02,1.752343587577342987e-02
