Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
6.800000000000000000e+01,2.530859410762786865e-02,3.498896723613142967e-03,4.407542292028665543e-03,2.921200171113014221e-02,8.316211402416229248e-02,2.266792021691799164e-02
6.900000000000000000e+01,2.544633112847805023e-02,3.435004502534866333e-03,4.426119383424520493e-03,2.937155589461326599e-02,8.252079784870147705e-02,2.302632853388786316e-02
7.000000000000000000e+01,2.558599971234798431e-02,3.373693907633423805e-03,4.441648256033658981e-03,2.953213267028331757e-02,8.193524926900863647e-02,2.337064407765865326e-02
7.100000000000000000e+01,2.572786621749401093e-02,3.314731642603874207e-03,4.454302601516246796e-03,2.969343587756156921e-02,8.139869570732116699e-02,2.369860745966434479e-02
7.200000000000000000e+01,2.587228640913963318e-02,3.258036915212869644e-03,4.463665187358856201e-03,2.985506504774093628e-02,8.090617507696151733e-02,2.400936186313629150e-02
7.300000000000000000e+01,2.601853944361209869e-02,3.203472821041941643e-03,4.469418432563543320e-03,3.001681715250015259e-02,8.045245707035064697e-02,2.430176734924316406e-02
7.400000000000000000e+01,2.616541087627410889e-02,3.150967415422201157e-03,4.471310414373874664e-03,3.017848543822765350e-02,8.003363013267517090e-02,2.457599528133869171e-02
7.500000000000000000e+01,2.631267160177230835e-02,3.100649919360876083e-03,4.469402134418487549e-03,3.033972159028053284e-02,7.964597642421722412e-02,2.483202330768108368e-02
7.600000000000000000e+01,2.646051347255706787e-02,3.053233725950121880e-03,4.464068450033664703e-03,3.050048649311065674e-02,7.928659021854400635e-02,2.506999671459197998e-02
7.700000000000000000e+01,2.660892903804779053e-02,3.008484374731779099e-03,4.455431364476680756e-03,3.066056966781616211e-02,7.895285636186599731e-02,2.529059164226055145e-02
7.800000000000000000e+01,2.675712853670120239e-02,2.965618157759308815e-03,4.443884361535310745e-03,3.081982769072055817e-02,7.864253222942352295e-02,2.549416013062000275e-02
7.900000000000000000e+01,2.690479159355163574e-02,2.924904925748705864e-03,4.429883323609828949e-03,3.097811155021190643e-02,7.835459709167480469e-02,2.568220719695091248e-02
