Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
4.700000000000000000e+01,3.296616300940513611e-02,9.254575707018375397e-03,1.838048174977302551e-02,4.089404642581939697e-02,1.803614497184753418e-01,7.124618440866470337e-02
4.800000000000000000e+01,3.257888182997703552e-02,8.906175382435321808e-03,1.677399314939975739e-02,4.018587619066238403e-02,1.752611994743347168e-01,6.678678095340728760e-02
4.900000000000000000e+01,3.228255733847618103e-02,8.589979261159896851e-03,1.529697887599468231e-02,3.956604003906250000e-02,1.707579940557479858e-01,6.272202730178833008e-02
5.000000000000000000e+01,3.205772116780281067e-02,8.303891867399215698e-03,1.400353200733661652e-02,3.902398049831390381e-02,1.668553501367568970e-01,5.906472727656364441e-02
5.100000000000000000e+01,3.188786655664443970e-02,8.045892231166362762e-03,1.291604805737733841e-02,3.854966536164283752e-02,1.635503917932510376e-01,5.582373216748237610e-02
5.200000000000000000e+01,3.175828233361244202e-02,7.814078591763973236e-03,1.200797222554683685e-02,3.813418000936508179e-02,1.608342230319976807e-01,5.300257727503776550e-02
5.300000000000000000e+01,3.165601938962936401e-02,7.606863509863615036e-03,1.123193651437759399e-02,3.776938840746879578e-02,1.586911380290985107e-01,5.059756711125373840e-02
5.400000000000000000e+01,3.157486766576766968e-02,7.422046735882759094e-03,1.056688837707042694e-02,3.744794055819511414e-02,1.570986360311508179e-01,4.859696328639984131e-02
5.500000000000000000e+01,3.150966763496398926e-02,7.257670629769563675e-03,1.001167949289083481e-02,3.716347739100456238e-02,1.560283452272415161e-01,4.698040708899497986e-02
5.600000000000000000e+01,3.145603835582733154e-02,7.111925631761550903e-03,9.564190171658992767e-03,3.691050410270690918e-02,1.554471403360366821e-01,4.571907967329025269e-02
5.700000000000000000e+01,3.141051158308982849e-02,6.983977276831865311e-03,9.212681092321872711e-03,3.668412938714027405e-02,1.553175747394561768e-01,4.477734491229057312e-02
5.800000000000000000e+01,3.137066215276718140e-02,6.871978752315044403e-03,8.950136601924896240e-03,3.648041933774948120e-02,1.556000411510467529e-01,4.411441087722778320e-02
5.900000000000000000e+01,3.133357688784599304e-02,6.774303968995809555e-03,8.755559101700782776e-03,3.629598394036293030e-02,1.562531292438507080e-01,4.368732124567031860e-02
6.000000000000000000e+01,3.129830956459045410e-02,6.689514033496379852e-03,8.612317964434623718e-03,3.612802177667617798e-02,1.572354733943939209e-01,4.345286637544631958e-02
6.100000000000000000e+01,3.126458451151847839e-02,6.616460625082254410e-03,8.509058505296707153e-03,3.597436472773551941e-02,1.585065871477127075e-01,4.337058216333389282e-02
6.200000000000000000e+01,3.123216517269611359e-02,6.553860381245613098e-03,8.436818607151508331e-03,3.583305701613426208e-02,1.600277274847030640e-01,4.340380802750587463e-02
6.300000000000000000e+01,3.120100684463977814e-02,6.500292103737592697e-03,8.388453163206577301e-03,3.570289164781570435e-02,1.617633402347564697e-01,4.352114349603652954e-02
6.400000000000000000e+01,3.117103874683380127e-02,6.454779766499996185e-03,8.360432460904121399e-03,3.558271005749702454e-02,1.636799871921539307e-01,4.369704425334930420e-02
6.500000000000000000e+01,3.114232234656810760e-02,6.416201591491699219e-03,8.344336412847042084e-03,3.547173738479614258e-02,1.657478213310241699e-01,4.391152411699295044e-02
6.600000000000000000e+01,3.111533820629119873e-02,6.383837666362524033e-03,8.332157507538795471e-03,3.536951914429664612e-02,1.679411381483078003e-01,4.415051639080047607e-02
6.700000000000000000e+01,3.109012730419635773e-02,6.356960162520408630e-03,8.320106193423271179e-03,3.527556732296943665e-02,1.702366173267364502e-01,4.440509527921676636e-02
6.800000000000000000e+01,3.106745891273021698e-02,6.334493402391672134e-03,8.306249976158142090e-03,3.518965840339660645e-02,1.726147681474685669e-01,4.467098042368888855e-02
6.900000000000000000e+01,3.104800172150135040e-02,6.315939128398895264e-03,8.290787227451801300e-03,3.511169180274009705e-02,1.750596612691879272e-01,4.494812339544296265e-02
7.000000000000000000e+01,3.103355132043361664e-02,6.301384419202804565e-03,8.274581283330917358e-03,3.504160046577453613e-02,1.775577068328857422e-01,4.523998126387596130e-02
7.100000000000000000e+01,3.102349862456321716e-02,6.290194112807512283e-03,8.259272202849388123e-03,3.497929498553276062e-02,1.800984740257263184e-01,4.555298015475273132e-02
7.200000000000000000e+01,3.101650439202785492e-02,6.281915586441755295e-03,8.246513083577156067e-03,3.492482751607894897e-02,1.826735436916351318e-01,4.589565470814704895e-02
7.300000000000000000e+01,3.101429529488086700e-02,6.276422180235385895e-03,8.238594979047775269e-03,3.487814217805862427e-02,1.852767467498779297e-01,4.627839848399162292e-02
7.400000000000000000e+01,3.101564571261405945e-02,6.273467093706130981e-03,8.237711153924465179e-03,3.483925759792327881e-02,1.879040449857711792e-01,4.671246558427810669e-02
7.500000000000000000e+01,3.102030046284198761e-02,6.273064296692609787e-03,8.246402256190776825e-03,3.480811789631843567e-02,1.905526816844940186e-01,4.720947518944740295e-02
7.600000000000000000e+01,3.102888166904449463e-02,6.275624968111515045e-03,8.267259225249290466e-03,3.478470072150230408e-02,1.932215392589569092e-01,4.778105020523071289e-02
7.700000000000000000e+01,3.104182519018650055e-02,6.281303707510232925e-03,8.303334005177021027e-03,3.476880118250846863e-02,1.959100514650344849e-01,4.843785241246223450e-02
7.800000000000000000e+01,3.105887770652770996e-02,6.290140096098184586e-03,8.357129991054534912e-03,3.476035222411155701e-02,1.986189633607864380e-01,4.918963834643363953e-02
7.900000000000000000e+01,3.107985295355319977e-02,6.301963701844215393e-03,8.433683775365352631e-03,3.475911542773246765e-02,2.013494223356246948e-01,5.004387721419334412e-02
8.000000000000000000e+01,3.110463917255401611e-02,6.317206658422946930e-03,8.538691326975822449e-03,3.476492315530776978e-02,2.041035294532775879e-01,5.100714042782783508e-02
8.100000000000000000e+01,3.113435022532939911e-02,6.336482241749763489e-03,8.673897013068199158e-03,3.477755188941955566e-02,2.068833708763122559e-01,5.208283290266990662e-02
8.200000000000000000e+01,3.116840124130249023e-02,6.359616760164499283e-03,8.842119947075843811e-03,3.479666262865066528e-02,2.096908837556838989e-01,5.327291786670684814e-02
8.300000000000000000e+01,3.120683878660202026e-02,6.386769004166126251e-03,9.038181975483894348e-03,3.482199087738990784e-02,2.125284522771835327e-01,5.457701906561851501e-02
8.400000000000000000e+01,3.124987520277500153e-02,6.418100558221340179e-03,9.259960614144802094e-03,3.485316783189773560e-02,2.153985947370529175e-01,5.599281564354896545e-02
8.500000000000000000e+01,3.129762038588523865e-02,6.453955080360174179e-03,9.506250731647014618e-03,3.488987684249877930e-02,2.183034420013427734e-01,5.751621723175048828e-02
