benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,l1_absolute_u,l2_relative_u,l1_absolute_v,l2_relative_v,l1_absolute_p,l2_relative_p,model
kovasznay,R,R,2,10,0,1234,,,,,0.01,200,40000,200,5000,173,,0.0003794390650000423,5.786787033081055,149.40110087394714,6597,arm64,0.0023503352172678255,0.002482592633344054,0.0010930373968700531,0.014402602270606331,0.0014060591657797342,0.004859453933980964,R
kovasznay,R,R,2,10,1,1235,,,,,0.01,200,40000,200,5000,173,,0.00028796648257412016,6.0531980991363525,178.0019781589508,7577,arm64,0.0020904375811234117,0.002128021082234943,0.0010240551826109449,0.013181961260011988,0.0014150776167954232,0.004998693511503713,R
kovasznay,R,R,2,10,2,1236,,,,,0.01,200,40000,200,5000,173,,0.0005327124963514507,5.951584100723267,122.99681901931763,5291,arm64,0.003074683574840849,0.003188512137284782,0.002070945033505715,0.026094470238711445,0.001514348265913555,0.005189445847312749,R
kovasznay,R,R,2,10,3,1237,,,,,0.01,200,40000,200,5000,173,,0.0001764786138664931,6.395581960678101,154.67131805419922,6520,arm64,0.002004030644089366,0.0021123988297523165,0.0009371083421209454,0.01150652300740366,0.0011299013469095753,0.004107091892497152,R
kovasznay,R,R,2,10,4,1238,,,,,0.01,200,40000,200,5000,173,,0.0008217418217100203,6.728162050247192,77.68959784507751,3527,arm64,0.00369164057242659,0.003786762439964215,0.001837270056654137,0.022086981925529044,0.001969621387737903,0.0068872662151584245,R
kovasznay,FF,FF_s10,3,10,0,1234,,,10.0,3.0,0.01,200,40000,200,5000,323,313.0,3.3773603439331055,10.277277946472168,11.430341005325317,271,arm64,0.616444080364942,0.6337210559374359,0.08289798209678705,1.000000395118462,0.31627149403102495,1.0277776162356074,FF_s10
kovasznay,FF,FF_s10,3,10,1,1235,,,10.0,3.0,0.01,200,40000,200,5000,323,313.0,3.488430976867676,10.500481128692627,8.582453966140747,203,arm64,0.6542422108239927,0.672392778401273,0.08292233087180506,1.0000797546596683,0.3369749923656657,1.0801019673776162,FF_s10
kovasznay,FF,FF_s10,3,10,2,1236,,,10.0,3.0,0.01,200,40000,200,5000,323,313.0,3.3272814750671387,10.297722816467285,7.790271043777466,198,arm64,0.6521336108281608,0.6703376532916616,0.0829731156297153,1.000586772881029,0.3242999628287297,1.0469634941111925,FF_s10
kovasznay,FF,FF_s10,3,10,3,1237,,,10.0,3.0,0.01,200,40000,200,5000,323,313.0,3.247568130493164,10.162341117858887,26.290236234664917,693,arm64,0.6209092035381889,0.6384830513499006,0.08304683270432707,1.0020463092891705,0.3170034448110292,1.0295118447831182,FF_s10
kovasznay,FF,FF_s10,3,10,4,1238,,,10.0,3.0,0.01,200,40000,200,5000,323,313.0,3.6215760707855225,9.364213943481445,8.491942882537842,204,arm64,0.6194111711136686,0.6369447756300427,0.08292300005492147,1.0000839017665444,0.32868331141864965,1.0580343374519885,FF_s10
