benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,l1_absolute,l2_relative,l1_absolute_c0,l2_relative_c0,l2_relative_sum,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,rms_r,mean_abs_r,max_abs_r,rms_r_x,mean_abs_r_x,max_abs_r_x,rms_r_y,mean_abs_r_y,max_abs_r_y,rms_r_xx,mean_abs_r_xx,max_abs_r_xx,rms_r_yy,mean_abs_r_yy,max_abs_r_yy,domain,model
helmholtz2d,FF,FF_s5,2,10,7,1241,,,5.0,3.0,0.01,200,40000,200,10000,191,181.0,0.337951526627582,0.7747176316065602,0.337951526627582,0.7747176316065588,0.7747176316065588,3610.299560546875,3.802899122238159,42.133784770965576,2842,arm64,60.28456485507402,53.43593788146973,130.7042999267578,1582.3847805606574,1259.4832763671875,5766.98095703125,1223.8709337589482,989.0165405273438,3975.40234375,400692.88341072394,314777.05078125,1803854.0,219816.6776566328,174257.87109375,727069.375,"[[0.0, 1.0], [0.0, 1.0]]",FF_s5
helmholtz2d,FF,FF_s5,2,10,8,1242,,,5.0,3.0,0.01,200,40000,200,10000,191,181.0,0.3973997422247532,1.0000631301540548,0.3973997422247532,1.0000631301540508,1.0000631301540508,5986.38232421875,3.939662218093872,104.50938987731934,7114,arm64,80.25496137737277,65.12280750274658,191.60629272460938,4469.429186148943,3244.5535583496094,27243.3203125,6307.541200816686,4577.633605957031,37589.97265625,2156243.344664048,1309553.609375,19814982.0,4562587.648562601,2800745.4375,31311512.0,"[[0.0, 1.0], [0.0, 1.0]]",FF_s5
helmholtz2d,FF,FF_s5,2,10,9,1243,,,5.0,3.0,0.01,200,40000,200,10000,191,181.0,0.39730688967142713,1.0000298175111197,0.39730688967142713,1.0000298175111173,1.0000298175111173,6233.5205078125,3.626278877258301,16.52038073539734,1054,arm64,79.48396264267913,64.66282081604004,179.1383056640625,1347.2765120790907,1090.3375854492188,5323.18359375,4946.15557782001,3593.7747497558594,26501.978515625,150630.86621273874,115754.3837890625,807192.25,4007035.091388145,2640013.71875,19765980.0,"[[0.0, 1.0], [0.0, 1.0]]",FF_s5
helmholtz2d,LPA,LPA_P6_N30,2,10,0,1234,6.0,30.0,,,0.01,200,40000,200,10000,181,,0.0028642681283493013,0.00715208939096493,0.0028642681283493013,0.007152089390964924,0.007152089390964924,0.40667638182640076,8.28492283821106,152.06630778312683,4762,arm64,0.5898368184522371,0.4089321941137314,12.19577693939209,21.106041883007936,10.774534702301025,460.73089599609375,21.10739124162092,10.61015784740448,447.49249267578125,649.7772605141319,287.1450843811035,9292.080078125,652.4892360223271,282.9503517150879,9184.2998046875,,LPA
helmholtz2d,LPA,LPA_P6_N30,2,10,1,1235,6.0,30.0,,,0.01,200,40000,200,10000,181,,0.43756602379589404,1.060251940554512,0.43756602379589404,1.0602519405545083,1.0602519405545083,50.181480407714844,8.425074100494385,97.21952295303345,3074,arm64,5.627221813096229,4.294969201087952,55.17205810546875,134.5858973649589,94.6992301940918,1615.537353515625,141.54982093468232,95.42437744140625,1809.5235595703125,2760.3407737994958,2051.5958862304688,22110.986328125,3019.873817728151,2089.5511169433594,23675.744140625,,LPA
helmholtz2d,LPA,LPA_P6_N30,2,10,2,1236,6.0,30.0,,,0.01,200,40000,200,10000,181,,0.017052348309032926,0.04426895776886366,0.017052348309032926,0.0442689577688636,0.0442689577688636,1.489635944366455,8.622745037078857,143.99394297599792,4584,arm64,1.0868610804446843,0.8156164437532425,14.864128112792969,36.257397021934054,20.810913562774658,547.19287109375,32.43416547449395,19.36678957939148,524.2349853515625,1075.9322266063043,577.9633560180664,10667.642578125,944.1679289856228,513.9475898742676,11198.1044921875,,LPA
helmholtz2d,LPA,LPA_P6_N30,2,10,3,1237,6.0,30.0,,,0.01,200,40000,200,10000,181,,0.21563186083595257,0.5172125459358811,0.21563186083595257,0.5172125459358795,0.5172125459358795,41.46511459350586,8.80940580368042,177.4892680644989,5669,arm64,5.729053096223559,4.401844382286072,67.39156341552734,141.64886688307044,97.99267387390137,1969.134521484375,143.15872922364773,100.07164478302002,1963.327880859375,2986.9509851184366,2133.833297729492,26263.9296875,3050.73668357333,2194.802734375,25609.654296875,,LPA
helmholtz2d,LPA,LPA_P6_N30,2,10,4,1238,6.0,30.0,,,0.01,200,40000,200,10000,181,,0.9737017679510207,2.3275051333571257,0.9737017679510207,2.3275051333571213,2.3275051333571213,272.78131103515625,8.382268905639648,51.66991209983826,1613,arm64,13.799816193946002,11.075596451759338,76.20683288574219,251.0833587224445,197.2286605834961,2304.013916015625,249.3313421214078,196.92091751098633,2170.83203125,4371.6090001279845,3432.927764892578,33363.69140625,4364.075002219829,3459.9691162109375,31039.0,,LPA
helmholtz2d,LPA,LPA_P6_N30,2,10,5,1239,6.0,30.0,,,0.01,200,40000,200,10000,181,,0.008195930521487439,0.021548016924798356,0.008195930521487439,0.02154801692479835,0.02154801692479835,0.3516693413257599,6.951113224029541,121.50990509986877,4016,arm64,0.5587914757141463,0.38618597760796547,9.673761367797852,18.919878324315004,9.375748753547668,385.4242248535156,18.909188286573922,9.511098504066467,337.2247314453125,509.95068025159304,243.37149620056152,7078.76953125,572.8931391002383,262.7006149291992,6776.72412109375,"[[0.0, 1.0], [0.0, 1.0]]",LPA
helmholtz2d,LPA,LPA_P6_N30,2,10,6,1240,6.0,30.0,,,0.01,200,40000,200,10000,181,,0.07059498152646379,0.17357930998584317,0.07059498152646379,0.1735793099858429,0.1735793099858429,28.06584930419922,7.813699960708618,105.70393300056458,3519,arm64,4.768927808573945,3.521442472934723,40.7169189453125,139.44475289995003,89.71268081665039,1428.933349609375,140.4857835195211,88.8729419708252,1654.937255859375,3753.5073764413996,2250.357879638672,63197.43359375,3886.3308048852455,2292.056610107422,56410.8125,"[[0.0, 1.0], [0.0, 1.0]]",LPA
